"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 19:06:56 UTC 2025","Tue Oct 07 19:07:12 UTC 2025","16443","Smoke Tests","Test on chrome","tests.LogoutTest","tests.LogoutTest","positiveLogoutTest","positiveLogoutTest",""
"passed","Tue Oct 07 19:07:13 UTC 2025","Tue Oct 07 19:07:24 UTC 2025","10877","Smoke Tests","Test on chrome","tests.ReportTests","tests.ReportTests","positiveViewWorkoutReport","positiveViewWorkoutReport",""
"passed","Tue Oct 07 19:07:27 UTC 2025","Tue Oct 07 19:07:34 UTC 2025","6676","Smoke Tests","Test on chrome","tests.CalendarTests","tests.CalendarTests","positiveAddQuickWorkOutTodayByButton","positiveAddQuickWorkOutTodayByButton",""
"failed","Tue Oct 07 19:07:26 UTC 2025","Tue Oct 07 19:07:39 UTC 2025","12690","Smoke Tests","Test on chrome","tests.LoginTest","tests.LoginTest","positiveLoginTest","positiveLoginTest",""
"passed","Tue Oct 07 19:07:16 UTC 2025","Tue Oct 07 19:07:20 UTC 2025","4359","Smoke Tests","Test on chrome","tests.BikesTests","tests.BikesTests","positiveAddBikeTest","Проверка добавления велосипеда",""
"passed","Tue Oct 07 19:07:42 UTC 2025","Tue Oct 07 19:07:47 UTC 2025","5670","Smoke Tests","Test on chrome","tests.ShoesTests","tests.ShoesTests","positiveAddShoesTest","positiveAddShoesTest",""
"passed","Tue Oct 07 19:07:25 UTC 2025","Tue Oct 07 19:07:26 UTC 2025","1037","Smoke Tests","Test on chrome","tests.LoginTest","tests.LoginTest","negativeLoginTest","negativeLoginTest",""
"passed","Tue Oct 07 19:07:47 UTC 2025","Tue Oct 07 19:07:49 UTC 2025","2686","Smoke Tests","Test on chrome","tests.CalculatorTests","tests.CalculatorTests","positiveTinmanTest","positiveTinmanTest",""
"passed","Tue Oct 07 19:07:39 UTC 2025","Tue Oct 07 19:07:42 UTC 2025","2798","Smoke Tests","Test on chrome","tests.ShoesTests","tests.ShoesTests","negativeAddShoesTest","negativeAddShoesTest",""
"passed","Tue Oct 07 19:07:48 UTC 2025","Tue Oct 07 19:07:55 UTC 2025","7931","Smoke Tests","Test on chrome","tests.ShoesTests","tests.ShoesTests","positiveEditShoesTest","positiveEditShoesTest",""
"passed","Tue Oct 07 19:07:24 UTC 2025","Tue Oct 07 19:07:25 UTC 2025","917","Smoke Tests","Test on chrome","tests.LoginTest","tests.LoginTest","negativeLoginTest","negativeLoginTest",""
"passed","Tue Oct 07 19:07:41 UTC 2025","Tue Oct 07 19:07:44 UTC 2025","2368","Smoke Tests","Test on chrome","tests.CalculatorTests","tests.CalculatorTests","negativeIntensityTest","negativeIntensityTest",""
"passed","Tue Oct 07 19:07:44 UTC 2025","Tue Oct 07 19:07:47 UTC 2025","2696","Smoke Tests","Test on chrome","tests.CalculatorTests","tests.CalculatorTests","positiveIntensityTest","positiveIntensityTest",""
"passed","Tue Oct 07 19:07:12 UTC 2025","Tue Oct 07 19:07:16 UTC 2025","3442","Smoke Tests","Test on chrome","tests.BikesTests","tests.BikesTests","negativeAddBikesTest","negativeAddBikesTest",""
"passed","Tue Oct 07 19:07:20 UTC 2025","Tue Oct 07 19:07:27 UTC 2025","6647","Smoke Tests","Test on chrome","tests.CalendarTests","tests.CalendarTests","fileUploadTest","fileUploadTest",""
"passed","Tue Oct 07 19:06:56 UTC 2025","Tue Oct 07 19:07:13 UTC 2025","17185","Smoke Tests","Test on chrome","tests.ReportTests","tests.ReportTests","negativeViewZoneReport","negativeViewZoneReport",""
"passed","Tue Oct 07 19:07:34 UTC 2025","Tue Oct 07 19:07:41 UTC 2025","7481","Smoke Tests","Test on chrome","tests.CalendarTests","tests.CalendarTests","viewFutureTrainingFromDashboardPage","viewFutureTrainingFromDashboardPage",""
